name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
SEMERARO Silvia,SEMERARO S,Female,1996-05-02,FAGGIANO,Italy,Italy,ITA,Karate,KTE,ROME,Italy,,../../../en/results/karate/athlete-profile-n1337877-semeraro-silvia.htm
SEROGINA Anita,SEROGINA A,Female,1990-01-16,CHORNOMORSK,Ukraine,Ukraine,UKR,Karate,KTE,ODESSA,Ukraine,,../../../en/results/karate/athlete-profile-n1337092-serogina-anita.htm
SHIMIZU Kiyou,SHIMIZU K,Female,1993-12-07,OSAKA,Japan,Japan,JPN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1315384-shimizu-kiyou.htm
SHUEB Wael,SHUEB W,Male,1987-10-31,DAMASCUS,Syrian Arab Republic,EOR,EOR,Karate,KTE,RODERMARK,Germany,1.65/5'4'',../../../en/results/karate/athlete-profile-n1485484-shueb-wael.htm
SMORGUNER Ilja,SMORGUNER I,Male,1984-06-24,ST. PETERSBURG,Russian Federation,Germany,GER,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1317066-smorguner-ilja.htm
SOFUOGLU Ali,SOFUOGLU A,Male,1995-06-03,,,Turkey,TUR,Karate,KTE,ISTANBUL,Turkey,,../../../en/results/karate/athlete-profile-n1325308-sofuoglu-ali.htm
SOMEYA Mayumi,SOMEYA M,Female,1993-05-30,KOGA,Japan,Japan,JPN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1315380-someya-mayumi.htm
TERLIUGA Anzhelika,TERLIUGA A,Female,1992-03-27,ODESSA,Ukraine,Ukraine,UKR,Karate,KTE,ODESSA,Ukraine,,../../../en/results/karate/athlete-profile-n1337148-terliuga-anzhelika.htm
TORRES GUTIERREZ Ariel,TORRES GUTIERREZ A,Male,1997-11-06,,Cuba,United States of America,USA,Karate,KTE,"HIALEAH, FL",United States of America,,../../../en/results/karate/athlete-profile-n1320161-torres-gutierrez-ariel.htm
UEKUSA Ayumi,UEKUSA A,Female,1992-07-25,YACHIMATA,Japan,Japan,JPN,Karate,KTE,JAPAN,,,../../../en/results/karate/athlete-profile-n1315383-uekusa-ayumi.htm
WANG Yi-Ta,WANG YT,Male,1991-08-28,,Chinese Taipei,Chinese Taipei,TPE,Karate,KTE,KAOHSIUNG,Chinese Taipei,,../../../en/results/karate/athlete-profile-n1335769-wang-yi-ta.htm
WEN Tzuyun,WEN T,Female,1993-09-29,TAIPEI,Chinese Taipei,Chinese Taipei,TPE,Karate,KTE,TAIPEI,Chinese Taipei,,../../../en/results/karate/athlete-profile-n1335765-wen-tzuyun.htm
YAHIRO Tsuneari,YAHIRO T,Male,1987-09-12,,Japan,Australia,AUS,Karate,KTE,"SYDNEY, NSW",Australia,,../../../en/results/karate/athlete-profile-n1484193-yahiro-tsuneari.htm
YIN Xiaoyan,YIN X,Female,1993-08-28,HENAN,People's Republic of China,People's Republic of China,CHN,Karate,KTE,BEIJING,People's Republic of China,,../../../en/results/karate/athlete-profile-n1309465-yin-xiaoyan.htm
YULDASHEV Daniyar,YULDASHEV D,Male,1996-09-03,SHYMKENT,Kazakhstan,Kazakhstan,KAZ,Karate,KTE,SHYMKENT,Kazakhstan,,../../../en/results/karate/athlete-profile-n1304795-yuldashev-daniyar.htm
ZARETSKA Iryna,ZARETSKA I,Female,1996-03-04,ODESSA,Ukraine,Azerbaijan,AZE,Karate,KTE,ODESSA,Ukraine,,../../../en/results/karate/athlete-profile-n1439654-zaretska-iryna.htm
ZHANGBYRBAY Moldir,ZHANGBYRBAY M,Female,1997-05-18,KYZYLORDA,Kazakhstan,Kazakhstan,KAZ,Karate,KTE,KYZYLORDA,Kazakhstan,,../../../en/results/karate/athlete-profile-n1304806-zhangbyrbay-moldir.htm
